id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
1,BZ,702,BLUE BIRD AIRWAYS,2026-07-06T09:00:00,2026-07-06T09:47:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-55,B,DEPARTED,המריאה
2,LY,5462,EL AL ISRAEL AIRLINES,2026-07-06T09:45:00,2026-07-06T09:49:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
3,BT,6675,AIR BALTIC,2026-07-06T09:05:00,2026-07-06T09:50:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
4,LY,285,EL AL ISRAEL AIRLINES,2026-07-06T09:05:00,2026-07-06T09:50:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
5,IZ,802,ARKIA  ISRAELI  AIRLINES,2026-07-06T08:50:00,2026-07-06T09:52:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
6,6H,881,ISRAIR AIRLINES,2026-07-06T09:00:00,2026-07-06T09:57:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,1,305-309,A,DEPARTED,המריאה
7,6H,569,ISRAIR AIRLINES,2026-07-06T09:35:00,2026-07-06T09:58:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,201-214,G,DEPARTED,המריאה
8,W4,3258,WIZZ AIR MALTA,2026-07-06T09:20:00,2026-07-06T10:02:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,1,361-368,D,DEPARTED,המריאה
9,EK,2268,EMIRATES,2026-07-06T10:25:00,2026-07-06T10:03:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
10,FZ,1635,FLYDUBAI,2026-07-06T10:25:00,2026-07-06T10:03:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
11,CY,1462,CYPRUS AIRWAYS,2026-07-06T09:50:00,2026-07-06T10:05:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,224-226,G,DEPARTED,המריאה
12,W6,2097,WIZZAIR,2026-07-06T10:10:00,2026-07-06T10:05:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
