id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
1,U8,159,TUS AIRWAYS,2026-07-11T20:05:00,2026-07-11T20:03:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-2.0,-0.001
2,IZ,414,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:10:00,2026-07-11T20:14:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,4.0,0.003
3,EY,598,ETIHAD AIRWAYS,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,5.0,0.003
4,LY,9607,EL AL ISRAEL AIRLINES,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,5.0,0.003
5,6H,508,ISRAIR AIRLINES,2026-07-11T20:45:00,2026-07-11T20:18:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3.0,,,LANDED,נחתה,-27.0,-0.019
6,IZ,223,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:25:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1.0,310-316,A,DEPARTED,המריאה,30.0,0.021
7,A3,927,AEGEAN  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
8,EK,4978,EMIRATES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
9,JU,7614,AIR SERBIA,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
10,W4,6404,WIZZ AIR MALTA,2026-07-11T18:55:00,2026-07-11T20:35:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה,100.0,0.069
